States,Rainfall,Ground Water,Temperature,Soil type,Season,Crop
Gujarat,115.7,35,31,Alluvial,Kharif,Paddy IGKVR-1 (IET 19569)
Gujarat,115.7,35,31,Clayey,Kharif,Paddy IGKVR-1 (IET 19569)
Gujarat,115.7,35,28.5,Alluvial,Kharif,Millet 86M64 (MSH 203) (Hybrid)
Gujarat,115.7,35,28.5,Sandy,Kharif,Millet 86M64 (MSH 203) (Hybrid)
Gujarat,115.7,35,29,Alluvial,Kharif,Millet MH 1540 (86M64) (Hybrid)
Gujarat,115.7,35,29,Sandy,Kharif,Millet MH 1540 (86M64) (Hybrid)
Gujarat,115.7,35,20.5,Alluvial,Rabi,Onion
Gujarat,115.7,35,20.5,Clayey,Rabi,Onion
Gujarat,115.7,35,20.5,Sandy,Rabi,Onion
Gujarat,115.7,35,28.5,Alluvial,Rabi,Banana
Gujarat,115.7,35,28.5,Black,Rabi,Banana
Gujarat,115.7,35,28.5,Black,Rabi,Banana
Haryana,47.5,15,30,Black,Kharif,Bajra
Haryana,47.5,15,30,Sandy,Kharif,Bajra
Haryana,47.5,15,22.5,Alluvial,All Season,Oilseed
Haryana,47.5,15,22.5,Black,All Season,Oilseed
Haryana,47.5,15,22.5,Clayey,All Season,Oilseed
Haryana,47.5,15,30,Black,Kharif,Clove
Haryana,47.5,15,30,Clayey,Kharif,Clove
Haryana,47.5,15,30,Latterite,Kharif,Clove
Haryana,47.5,15,22.5,Black,Kharif,Cardamom
Haryana,47.5,15,22.5,Clayey,Kharif,Cardamom
Haryana,47.5,15,22.5,Black,Kharif,Cardamom
Haryana,47.5,15,22.5,Clayey,Kharif,Cardamom
Haryana,47.5,15,22.5,Latterite,Kharif,Cardamom
Haryana,47.5,15,30,Black,Kharif,Urad
Haryana,47.5,15,30,Sandy,Kharif,Urad
Haryana,47.5,15,30,Black,Rabi,Black Gram
Haryana,47.5,15,30.5,Sandy,Rabi,Black Gram
Haryana,47.5,15,30,Sandy,Rabi,Black Gram
Haryana,47.5,15,22.5,Clayey,Kharif,Cotton CNH012
Haryana,47.5,15,23,Clayey,Kharif,Cotton CICR-3 (CISA 614)
Haryana,47.5,15,28,Clayey,Kharif,Sugarcane Karan 5 (Co 0124)
Haryana,47.5,15,28,Sandy,Kharif,Sugarcane Karan 5 (Co 0124)
Haryana,47.5,15,33,Alluvial,Kharif,Paddy CR Dhan 501 (IET 19189)
Haryana,47.5,15,33,Clayey,Kharif,Paddy CR Dhan 501 (IET 19189)
Haryana,47.5,15,29.5,Clayey,Kharif,Jowar
Haryana,47.5,15,18.5,Clayey,Rabi,Barley Pusa Losar (BH- 380)
Haryana,47.5,15,22.5,Clayey,Kharif,Maize DHM 119 (BH 4062)
Haryana,47.5,15,22.5,Sandy,Kharif,Maize DHM 119 (BH 4062)
Haryana,47.5,15,30,Alluvial,Kharif,Rice
Haryana,47.5,15,30,Clayey,Kharif,Rice
Himachal Pradesh,127.5,22,30.5,Alluvial,Kharif,Rice
Himachal Pradesh,127.5,22,30.5,Clayey,Kharif,Rice
Himachal Pradesh,127.5,22,22.5,Alluvial,All Season,Oilseed
Himachal Pradesh,127.5,22,23,Black,All Season,Oilseed
Himachal Pradesh,127.5,22,22.5,Clayey,All Season,Oilseed
Himachal Pradesh,127.5,22,30,Alluvial,Kharif,Jute
Himachal Pradesh,127.5,22,30,Clayey,Kharif,Jute
Himachal Pradesh,127.5,22,30,Sandy,Kharif,Jute
Himachal Pradesh,127.5,22,15,Clayey,Rabi,Flax
Himachal Pradesh,127.5,22,30,Black,Kharif,Clove
Himachal Pradesh,127.5,22,30,Clayey,Kharif,Clove
Himachal Pradesh,127.5,22,30.5,Latterite,Kharif,Clove
Himachal Pradesh,127.5,22,27.5,Clayey,Rabi,Black Pepper
Himachal Pradesh,127.5,22,28,Latterite,Rabi,Black Pepper
Himachal Pradesh,127.5,22,27.5,Red,Rabi,Black Pepper
Himachal Pradesh,127.5,22,28,Sandy,Rabi,Black Pepper
Himachal Pradesh,127.5,22,22.5,Black,Kharif,Cardamom
Himachal Pradesh,127.5,22,23,Clayey,Kharif,Cardamom
Himachal Pradesh,127.5,22,22.5,Latterite,Kharif,Cardamom
Himachal Pradesh,127.5,22,25,Clayey,Kharif,Turmeric
Himachal Pradesh,127.5,22,25,Sandy,Kharif,Turmeric
Himachal Pradesh,127.5,22,30,Clayey,Zaid,Moong
Himachal Pradesh,127.5,22,30.5,Sandy,Zaid,Moong
Himachal Pradesh,127.5,22,30,Alluvial,Kharif,Paddy Chinsurah Rice (IET 19140)
Himachal Pradesh,127.5,22,30,Clayey,Kharif,Paddy Chinsurah Rice (IET 19140)
Himachal Pradesh,127.5,22,18.5,Clayey,Rabi,Wheat MPO(JW) 1215 (MPO 1215)
Himachal Pradesh,127.5,22,17.5,Clayey,Rabi,Barley BH-902
Himachal Pradesh,127.5,22,21,Clayey,Kharif,Maize HSC1
Himachal Pradesh,127.5,22,21,Sandy,Kharif,Maize HSC1
Himachal Pradesh,127.5,22,20,Clayey,Rabi,Lentil Pant Lentil-8(Pant L-063)
Himachal Pradesh,127.5,22,20,Sandy,Rabi,Lentil Pant Lentil-8(Pant L-063)
Himachal Pradesh,127.5,22,28.5,Clayey,Rabi,Sunflower
Himachal Pradesh,127.5,22,28.5,Sandy,Rabi,Sunflower
Jharkhand,121.4,12,21.5,Clayey,Kharif,Maize HQPM-4
Jharkhand,121.4,12,21.5,Sandy,Kharif,Maize HQPM-4
Jharkhand,121.4,12,25,Sandy,Kharif,Groundnut Girnar - 3 (PBS 12160)
Jharkhand,121.4,12,28.5,Clayey,Rabi,Sunflower
Jharkhand,121.4,12,28.5,Sandy,Rabi,Sunflower
Jharkhand,121.4,12,30,Alluvial,Kharif,Paddy Chinsurah Rice (IET 19140)
Jharkhand,121.4,12,30,Clayey,Kharif,Paddy Chinsurah Rice (IET 19140)
Jharkhand,121.4,12,30,Clayey,Zaid,Moong
Jharkhand,121.4,12,30,Sandy,Zaid,Moong
Karnataka,121.4,22,25,Alluvial,Kharif,Tea
Karnataka,121.4,22,25.5,Latterite,Kharif,Tea
Karnataka,121.4,22,30,Black,Kharif,Clove
Karnataka,121.4,22,30,Clayey,Kharif,Clove
Karnataka,121.4,22,30,Latterite,Kharif,Clove
Karnataka,121.4,22,27.5,Clayey,Rabi,Black Pepper
Karnataka,121.4,22,27.5,Latterite,Rabi,Black Pepper
Karnataka,121.4,22,27.5,Red,Rabi,Black Pepper
Karnataka,121.4,22,27.5,Sandy,Rabi,Black Pepper
Karnataka,121.4,22,22.5,Black,Kharif,Cardamom
Karnataka,121.4,22,22.5,Clayey,Kharif,Cardamom
Karnataka,121.4,22,22.5,Latterite,Kharif,Cardamom
Karnataka,121.4,22,25,Latterite,Rabi,Cashewnut
Karnataka,121.4,22,25,Red,Rabi,Cashewnut
Karnataka,121.4,22,25,Sandy,Rabi,Cashewnut
Karnataka,121.4,22,27.5,Red,Kharif,Ragi
Karnataka,121.4,22,27.5,Sandy,Kharif,Ragi
Karnataka,121.4,22,29.5,Clayey,Kharif,Jowar
Karnataka,121.4,22,21,Clayey,Kharif,Maize HSC1
Karnataka,121.4,22,21,Sandy,Kharif,Maize HSC1
Karnataka,121.4,22,28,Clayey,Kharif,Sugarcane Karan 5 (Co 0124)
Karnataka,121.4,22,28,Sandy,Kharif,Sugarcane Karan 5 (Co 0124)
Karnataka,121.4,22,30,Alluvial,Kharif,Rice
Karnataka,121.4,22,30,Clayey,Kharif,Rice
